Old SGV properties and classes,Was used in classes,Amended and new SGV properties and classes,Will be used in classes,EN,DE,FR,IT,Mapping to external vocabularies (mainly Schema.org),PIA JSON API Endpoint,PIA JSON API Path, Linked Art Property/Class/Pattern (CIDOC-CRM)
,,relatedLink,"Object, Dataset, Collection","Related link (IIIF Manifest, IIIF Image, SGV Website)",Zugehöriger Link,Lien apparenté,,schema:relatedLink,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,"$.data.links.[manifest,related]","IIIF Manifest/External websites: subject_of (P129i) > digitally_carried_by, 
HMO/IIIF Image: representation > digitally_shown_by > access_point + digitally_available_via
DigitalObject/IIIF Image: access_point"
,,hasLicense,"Object, Dataset",License,Lizenz,Licence,,schema:license,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
,,hasAdditionalType,Agent,Additional Type,Zusätzlicher Typ,Type additionnel,,schema:additionalType,https://data.participatory-archives.ch/api/v1/agents/<id>,,
,,isSubjectOf,"Concept, Agent",Subject Of,Subjekt von,Sujet de,,schema:subjectOf,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
,,hasImageRepresentation,Object,has Representation ,hat Repräsentation,a comme représentation,ha come rappresentazione,,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
,,hasAudioRepresentation,Object,has Representation ,hat Repräsentation,a comme représentation,ha come rappresentazione,,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
,,hasMovingImageRepresentation,Object,has Representation ,hat Repräsentation,a comme représentation,ha come rappresentazione,,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
sgv:Image,,sgv:Object (will be deprecated),,Image,Bild,Image,Immagine,,,,
sgv:Film,,sgv:Object (will be deprecated),,Film,Film,Film,Film,,,,
sgv:Collection,,sgv:Collection,,Collection,Sammlung,Collection,Collezione,schema:Collection,https://data.participatory-archives.ch/api/v1/collections/<id>,,Set
sgv:Album,,sgv:Object (will be deprecated),,Album,Album,Album,Album,schema:CreativeWork,,,
sgv:Persons,,sgv:Agent,,Agent,Agent,Agent,Agente,dct:Agent,https://data.participatory-archives.ch/api/v1/agents/<id>,,"Person (E21), Group (E74)"
sgv:Subject,,sgv:Concept,,Concept,Konzepte,Concept,Concetto,skos:Concept,The endpoint not yet deployed,,
sgv:Tonbildschau,,sgv:Object (will be deprecated),,Audio-visual show,Tonbildschau,Diaporama,Spettacolo audiovisivo,,,,
sgv:Sequence,,sgv:Sequence,,Sequence,Sequenz,Séquence,Sequenza,,,,LinguisticObject (E33)
,,sgv:Object,,Object,Objekt,Objet,Oggetto,schema:CreativeWork,https://data.participatory-archives.ch/api/v1/images/<id>,,"DigitalObject (D1), HumanMadeObject (E22)"
,,sgv:Event,,Event,Event,Evénement,Evento,schema:Event,The endpoint not yet deployed,,Activity (E7)
,,sgv:Dataset,,Dataset,Datensatz,Set de données,Dataset,schema:Dataset,The endpoint not yet deployed,,Set
,,sgv:ImageRepresentation,,Image,Bild,Image,Immagine,kb:StillImageRepresentation,,,
,,sgv:AudioRepresentation,,Audio,Audio,Audio,Audio,kb:AudioRepresentation,,,
,,sgv:MovingImageRepresentation,,Moving Images,Bewegte Bilder,Images en mouvement,Immagine in movimento,kb:MovingImageRepresentation,,,
